epoch,accuracy,loss,val_accuracy,val_loss
0,0.7825000286102295,0.665690541267395,0.8374999761581421,0.3430916965007782
1,0.8585000038146973,0.3842357099056244,0.8587499856948853,0.3229210376739502
2,0.8730000257492065,0.3432668149471283,0.7925000190734863,0.48637598752975464
3,0.8884999752044678,0.2981342375278473,0.9087499976158142,0.2373923510313034
4,0.9010000228881836,0.25664222240448,0.9087499976158142,0.2486373484134674
5,0.9129999876022339,0.24151480197906494,0.9125000238418579,0.25550195574760437
6,0.9330000281333923,0.18186871707439423,0.8700000047683716,0.37778007984161377
7,0.9394999742507935,0.18371598422527313,0.918749988079071,0.2816898822784424
8,0.9399999976158142,0.16921427845954895,0.8812500238418579,0.3567388653755188
9,0.9480000138282776,0.14335747063159943,0.9037500023841858,0.35774683952331543
